phrase;replacements;message;url
"assemble together";"assemble";"At least you should use the proper form.";
"assemblyman";"assembly person","assembly worker";"Using gender neutral language means users will help to break up gender stereotypes";
"assemblywoman";"assembly person","assembly worker";"Using gender neutral language means users will help to break up gender stereotypes";
"assertible";"assertable";"This is the correct spelling";
"assessible";"assessable";"This is the correct spelling";
"assfuck";"";"Are you kidding! Why would you type this!";
"assfucker";"";"Are you kidding! Why would you type this!";
"asshole";"";"Are you kidding! Why would you type this!";
"assholes";"";"Are you kidding! Why would you type this!";
"asshore";"";"Are you kidding! Why would you type this!";
"assjockey";"";"Are you kidding! Why would you type this!";
"asskiss";"";"Are you kidding! Why would you type this!";
"asskisser";"";"Are you kidding! Why would you type this!";
"assklown";"";"Are you kidding! Why would you type this!";
"asslick";"";"Are you kidding! Why would you type this!";
"asslicker";"";"Are you kidding! Why would you type this!";
"asslover";"";"Are you kidding! Why would you type this!";
"assman";"";"Are you kidding! Why would you type this!";
"assmonkey";"";"Are you kidding! Why would you type this!";
"assmunch";"";"Are you kidding! Why would you type this!";
"assmuncher";"";"Are you kidding! Why would you type this!";
"associate together(?: in groups)?";"associate";"At least you should use the proper form.";
"asspacker";"";"Are you kidding! Why would you type this!";
"asspirate";"";"Are you kidding! Why would you type this!";
"asspuppies";"";"Are you kidding! Why would you type this!";
"assranger";"";"Are you kidding! Why would you type this!";
"asswhore";"";"Are you kidding! Why would you type this!";
"asswipe";"";"Are you kidding! Why would you type this!";
"astonishing";"surprising";"Emotional Word Detected";
"astounded";"astonished";"Emotional Word Detected";
"astounding";"surprising";"Emotional Word Detected";
"asylum";"psychiatric hospital","mental health hospital";"Don't use this word";
"at loose ends";"";"Don't use this word";
"at my wits end";"";"Don't use this word";
"at night";"";"No. Just no. Don't say this";
"at the end of the day";"";"Don't use this word";
"at the present time the";"at present the";"At least you should use the proper form.";
"at this point in time";"at this point";"At least you should use the proper form.";
"athletes foot";"";"Are you kidding! Why would you type this!";
"athletesfoot";"";"Are you kidding! Why would you type this!";
"atrocious";"dreadful";"Emotional Word Detected";
"attach together";"attach";"At least you should use the proper form.";
"attached hereto";"";"Don't use this word";
"attitudinally";"";"No. Just no. Don't say this";
"attorney and not a republic";"attorney and notary public";"At least you should use the proper form.";
"auctorial";"authorial";"At least you should use the proper form.";
"audable";"audible";"This is the correct spelling";
"audible to the ear";"";"No. Just no. Don't say this";
"aunt";"relative";"Using gender neutral language means users will help to break up gender stereotypes";
"aunts";"relatives";"Using gender neutral language means users will help to break up gender stereotypes";
"authentic";"legitimate";"Emotional Word Detected";
"authoress";"author","writer";"Use this form, it's better. Trust me.";
"authoritative";"official";"Emotional Word Detected";
"automaticly";"automatically";"This is the correct spelling";
"autumn season";"autumn";"At least you should use the proper form.";
"average housewife";"average consumer","average household","average homemaker";"Use this form, it's better. Trust me.";
"average man";"average person";"Use this form, it's better. Trust me.";
"average working man";"average wage earner","average taxpayer";"Use this form, it's better. Trust me.";
"averageible";"averageable";"This is the correct spelling";
"averral";"averment";"At least you should use the proper form.";
"avertable";"avertible";"This is the correct spelling";
"aviatrix";"aviator";"Use this form, it's better. Trust me.";
"avoid like the plague";"";"Don't use this word";
"avowed homosexual";"openly gay";"Use this form, it's better. Trust me.";
"awesome";"outstanding";"Emotional Word Detected";
"awhile";"temporarily";"Weasel Word Detected";
"awkward";"ungainly";"Emotional Word Detected";
"awoken";"";"Don't use this word";
"axing the weasel";"";"Are you kidding! Why would you type this!";
"b hard";"";"Are you kidding! Why would you type this!";
"babe in the woods";"";"Don't use this word";
"babe";"person","friend","pal","folk","individual";"Using gender neutral language means users will help to break up gender stereotypes";
"baboons";"troop";"A group of baboons is called a troop";
"back against the wall";"";"Don't use this word";
"back door man";"";"Are you kidding! Why would you type this!";
"back door";"";"Are you kidding! Why would you type this!";
"back in the saddle";"";"Don't use this word";
"back to square one";"";"Don't use this word";
"back to the drawing board";"";"Don't use this word";
"back";"";"Filler Word Detected";
"backdoor";"";"Are you kidding! Why would you type this!";
"backdoorman";"";"Are you kidding! Why would you type this!";
"backseat";"";"Are you kidding! Why would you type this!";
"bad ass";"";"Are you kidding! Why would you type this!";
"bad fuck";"";"Are you kidding! Why would you type this!";
"bad to the bone";"";"Don't use this word";
"bad";"substandard";"Don't use this word";
"badfuck";"";"Are you kidding! Why would you type this!";
"badge of honor";"";"Don't use this word";
"badgers";"cete";"A group of badgers is called a cete";
"bailible";"bailable";"This is the correct spelling";
"balanced";"equitable";"Emotional Word Detected";
"bald faced liar";"";"Don't use this word";
"bald-faced lie";"";"Don't use this word";
"bald-headed";"bald";"At least you should use the proper form.";
"ball licker";"";"Are you kidding! Why would you type this!";
"ball sack";"";"Are you kidding! Why would you type this!";
"balllicker";"";"Are you kidding! Why would you type this!";
"ballpark figure";"";"Don't use this word";
"balls";"";"Are you kidding! Why would you type this!";
"ballsack";"";"Are you kidding! Why would you type this!";
"balsa wood";"balsa";"At least you should use the proper form.";
"bandwidth";"capacity";"Don't use this word";
"bang for your buck";"";"Don't use this word";
"banging your head against a brick wall";"";"Don't use this word";
"banging";"";"Are you kidding! Why would you type this!";
"baptism by fire";"";"Don't use this word";
"barbwire";"barbed wire";"At least you should use the proper form.";
"bare naked";"";"Don't say this.";
"barely legal";"";"Are you kidding! Why would you type this!";
"barelylegal";"";"Are you kidding! Why would you type this!";
"barf face";"";"Are you kidding! Why would you type this!";
"barf";"";"Are you kidding! Why would you type this!";
"barface";"";"Are you kidding! Why would you type this!";
"barfface";"";"Are you kidding! Why would you type this!";
"barking up the wrong tree";"";"Don't use this word";
"barren";"empty","sterile","infertile";"Don't use this word";
"basic fundamentals";"fundamentals";"At least you should use the proper form.";
"basically";"";"It’s probably not that basic. If you’re going to explain a confusing previous sentence with a clearer next sentence, why not drop the former and only use the latter?";
"basicly";"basically";"This is the correct spelling";
"bastard";"";"Are you kidding! Why would you type this!";
"bat out of hell";"";"Don't use this word";
"bathroom bill";"non-discrimination law","non-discrimination ordinance";"These terms are stigmatizing to patients and their families because intersex status is more complicated than the mere presence or absence of certain gonadal tissues";
"bats";"colony";"A group of bats is called a colony";
"batshit";"person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"bazongas";"";"Are you kidding! Why would you type this!";
"bazooms";"";"Are you kidding! Why would you type this!";
"be able to";"";"Filler Word Detected";
"be all and end all";"";"Don't use this word";
"be mislead";"be misled";"At least you should use the proper form.";
"bears";"sloth";"A group of bears is called a sloth";
"beastality";"";"Are you kidding! Why would you type this!";
"beastiality";"";"Are you kidding! Why would you type this!";
"beat a dead horse";"";"Don't use this word";
"beat around the bush";"";"Don't use this word";
"beat off";"";"Are you kidding! Why would you type this!";
"beat your meat";"";"Are you kidding! Why would you type this!";
"beat";"";"Don't use this word";
"beat-off";"";"Are you kidding! Why would you type this!";
"beatoff";"";"Are you kidding! Why would you type this!";
"beatyourmeat";"";"Are you kidding! Why would you type this!";
"beau ideal";"beau idéal";"It's French";
"beckon call";"beck and call";"At least you should use the proper form.";
"become";"";"Don't use this word";
"bedlam";"chaos","hectic","pandemonium";"Use this form, it's better. Trust me.";
"been there, done that";"";"Don't use this word";
"been";"";"Don't use this word";
"beg to advise";"";"Are you kidding! Why would you type this!";
"began";"";"Filler Word Detected";
"begat";"";"Don't use this word";
"beggars can't be choosers";"";"Don't use this word";
"begun";"";"Don't use this word";
"behind the eight ball";"";"Don't use this word";
"believe";"conclude";"Indirect Word Detected";
"believed";"";"Filler Word Detected";
"belike";"";"Don't use this word";
"bend over backwards";"";"Don't use this word";
"benefic";"beneficent";"At least you should use the proper form.";
"benefit of the doubt";"";"Don't use this word";
"benignant";"benign";"At least you should use the proper form.";
"bent out of shape";"";"Don't use this word";
"bent";"";"Don't use this word";
"bento box";"bento";"At least you should use the proper form.";
"beset";"";"Don't use this word";
"best ever";"optimal";"At least you should use the proper form.";
"best practice";"industry standard";"Don't use this word";
"best thing since sliced bread";"";"Don't use this word";
"best";"optimal";"Weasel Word Detected";
"bestowment";"bestowal";"At least you should use the proper form.";
"bet your bottom dollar";"";"Don't use this word";
"bet";"";"Don't use this word";
"betimes";"";"Don't use this word";
"betrothment";"betrothal";"At least you should use the proper form.";
"better half";"";"Don't use this word";
"better late than never";"";"Don't use this word";
"better mousetrap";"";"Don't use this word";
